"game_id","names","min_players","max_players","avg_time","min_time","max_time","year","geek_rating","num_votes","age","mechanic","owned","category1","category2","category3","category4","category5","category6","category7","category8","category9","category10","category11","category12","designer"
5476,"A Gleam of Bayonets: The Battle of Antietam",2,2,360,360,360,1983,5.66576,138,12,"Hex-and-Counter",425,"American Civil War"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard H. Berg"
155987,"Abyss",2,4,60,30,60,2014,7.01873,6663,14,"Auction/Bidding, Card Drafting, Hand Management, Press Your Luck, Set Collection",8169,"Card Game"," Mythology"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bruno Cathala, Charles Chevallier"
14188,"Bughouse Chess",4,4,10,10,10,1960,5.89622,302,10,"Grid Movement, Partnerships",157,"Abstract Strategy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Uncredited)"
67199,"The Coming Storm",2,2,360,0,360,2010,5.70499,104,0,"Campaign / Battle Card Driven, Dice Rolling, Hex-and-Counter, Simulation",377,"Napoleonic"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kevin Zucker"
249,"Lifeboats",3,6,90,90,90,1993,6.30585,3159,12,"Player Elimination, Simultaneous Action Selection, Voting",3399,"Nautical"," Negotiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ronald Wettering"
56931,"Arena: Roma II",2,2,45,30,45,2009,6.39268,1853,8,"Action Point Allowance System, Card Drafting, Dice Rolling, Hand Management",2632,"Ancient"," Card Game"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Feld"
4095,"Star Munchkin",3,6,90,90,90,2002,5.91058,4069,10,"Card Drafting, Dice Rolling, Take That, Trading, Variable Player Powers",8047,"Card Game"," Fighting"," Humor"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,"Steve Jackson (I)"
80771,"Dungeon Raiders",3,5,60,20,60,2011,6.13961,1443,8,"Hand Management, Player Elimination, Simultaneous Action Selection, Take That, Variable Player Powers",2191,"Adventure"," Bluffing"," Card Game"," Exploration"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,"Phil Walker-Harding"
11886,"Texas Glory: 1835-36",2,2,120,120,120,2008,5.69683,164,0,"Dice Rolling, Secret Unit Deployment",340,"American West"," Post-Napoleonic"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tom Dalgliesh, Dan Mings, Carl Willner"
154086,"Gold West",2,4,60,45,60,2015,6.64263,1539,13,"Area Control / Area Influence, Modular Board, Route/Network Building, Set Collection",1922,"American West"," Economic"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Alex Kevern"
16,"MarraCash",3,4,60,60,60,1996,6.10236,898,12,"Auction/Bidding",1073,"Economic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Dorra"
72132,"Dragon Rampage",3,5,120,90,120,2012,5.79141,486,13,"Area Control / Area Influence, Card Drafting, Dice Rolling, Variable Player Powers",881,"Dice"," Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Launius"
119,"Kingdoms",2,4,45,45,45,1994,6.39197,4261,9,"Tile Placement",5525,"Abstract Strategy"," Fantasy"," Medieval",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reiner Knizia"
166857,"Antike II",3,6,120,90,120,2014,6.3914,893,13,"Area Control / Area Influence, Area Movement",1462,"Ancient"," Civilization"," Fighting"," Nautical"," Territory Building",NA,NA,NA,NA,NA,NA,NA,"Mac Gerdts"
67600,"D-Day at Tarawa",1,1,420,0,420,2014,5.93444,231,0,"Hex-and-Counter, Simulation",1058,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John H. Butterfield"
120669,"No Retreat! The North African Front",2,2,180,180,180,2013,5.84812,253,12,"Hex-and-Counter",1102,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carl Paradis"
144761,"Going, Going, GONE!",2,6,20,20,20,2013,5.86847,1120,8,"Auction/Bidding, Set Collection",1626,"Action / Dexterity"," Party Game"," Real-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scott Nicholson"
1371,"Mustangs",2,4,90,90,90,1991,5.66704,238,10,"Hex-and-Counter, Simultaneous Action Selection",540,"Aviation / Flight"," Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S. Craig Taylor"
129556,"Tapple",2,10,30,30,30,2012,5.84428,705,8,"Player Elimination",1405,"Card Game"," Electronic"," Party Game"," Real-time"," Word Game",NA,NA,NA,NA,NA,NA,NA,"(Uncredited)"
21704,"Fiji",2,5,30,30,30,2006,5.65616,857,10,"Auction/Bidding, Set Collection",1143,"Humor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friedemann Friese"
147021,"Hollywood",2,6,30,30,30,2013,5.79029,449,13,"Auction/Bidding, Card Drafting, Set Collection",648,"Card Game"," Industry / Manufacturing"," Movies / TV / Radio theme",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nikolay Pegasov"
10947,"Master Thieves",2,8,60,60,60,2004,5.88799,699,10,"Memory, Simultaneous Action Selection, Variable Player Powers",712,"Deduction"," Memory"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czarnè"
8129,"Sluff Off!",3,5,30,30,30,2003,6.39639,2000,10,"Betting/Wagering, Hand Management, Trick-taking",2976,"Card Game",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Dorra"
178570,"Unusual Suspects",3,18,30,10,30,2015,6.11659,1612,13,"Co-operative Play, Partnerships, Voting",2360,"Card Game"," Deduction"," Murder/Mystery"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,"Paolo Mori"
669,"Plague & Pestilence",2,6,30,30,30,1993,5.69409,651,0,"Card Drafting, Dice Rolling, Take That",822,"Card Game"," Medieval",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tray Green, Dawn Payn"
38471,"Corps Command: Dawn's Early Light",2,2,240,120,240,2010,5.68621,133,12,"Chit-Pull System, Dice Rolling, Hex-and-Counter",319,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peter Bogdasarian"
148575,"Marvel Dice Masters: Avengers vs. X-Men",2,2,60,60,60,2014,6.90128,5074,14,"Deck / Pool Building, Dice Rolling, Variable Player Powers",9339,"Collectible Components"," Comic Book / Strip"," Dice"," Fighting",NA,NA,NA,NA,NA,NA,NA,NA,"Mike Elliott, Eric M. Lang"
10431,"Epic Armageddon",2,8,120,120,120,2003,5.83314,254,12,"Dice Rolling, Modular Board, Variable Player Powers",420,"Fantasy"," Fighting"," Miniatures"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,"Jervis Johnson"
207951,"Tintas",2,2,20,15,20,2016,5.65464,78,8,"none",106,"Abstract Strategy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dieter Stein"
179803,"Arcadia Quest: Inferno",2,4,120,60,120,2017,6.84138,1166,13,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",4626,"Adventure"," Fantasy"," Fighting"," Miniatures",NA,NA,NA,NA,NA,NA,NA,NA,"Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret"
13122,"Antiquity",2,4,180,120,180,2004,7.20022,2688,14,"Modular Board, Tile Placement, Trading",3921,"City Building"," Civilization"," Economic"," Environmental"," Medieval",NA,NA,NA,NA,NA,NA,NA,"Jeroen Doumen, Joris Wiersinga"
1768,"Fireball Island",2,4,45,45,45,1986,5.92805,1261,7,"Hand Management, Roll / Spin and Move",1389,"Action / Dexterity"," Adventure"," Children's Game"," Racing",NA,NA,NA,NA,NA,NA,NA,NA,"ANJAR, Chuck Kennedy, Bruce Lund"
172931,"Outfoxed!",2,4,15,15,15,2014,6.24107,855,5,"Co-operative Play, Dice Rolling, Memory",1869,"Children's Game"," Deduction"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shanon Lyon, Marisa Pena"
21763,"Mr. Jack",2,2,30,30,30,2006,6.92234,12856,9,"Grid Movement, Variable Player Powers",15473,"Deduction"," Murder/Mystery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bruno Cathala, Ludovic Maublanc"
191597,"Dale of Merchants 2",2,4,40,20,40,2016,6.21078,677,10,"Card Drafting, Deck / Pool Building, Dice Rolling, Hand Management, Set Collection, Take That",1837,"Animals"," Card Game"," Fantasy"," Print & Play",NA,NA,NA,NA,NA,NA,NA,NA,"Sami Laakso"
20646,"1824: Austria-Hungary",3,6,300,300,300,2005,5.73098,123,14,"Auction/Bidding, Route/Network Building, Stock Holding, Tile Placement",155,"Economic"," Trains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmut Ohley, Leonhard ""Lonny"" Orgler"
196496,"Warfighter: The WWII Tactical Combat Card Game",1,6,90,30,90,2016,6.00285,344,0,"Action Point Allowance System, Campaign / Battle Card Driven, Co-operative Play, Dice Rolling, Hand Management",1048,"Card Game"," Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dan Verssen"
101865,"Saga",2,4,120,0,120,2011,5.92924,261,0,"Dice Rolling, Variable Player Powers",501,"Medieval"," Miniatures"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alexandre Buchel"
149155,"Dead Man's Draw",2,4,15,10,15,2015,6.46576,3086,13,"Press Your Luck",5442,"Card Game"," Pirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none"
93724,"Black Gold",2,5,120,120,120,2011,6.14247,973,13,"Auction/Bidding, Commodity Speculation",2107,"Bluffing"," Economic"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wilko Manz, Steven Kimball"
128137,"Damage Report",2,6,45,45,45,2014,5.67731,247,10,"Co-operative Play, Modular Board, Pick-up and Deliver, Simultaneous Action Selection, Variable Player Powers",589,"Real-time"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex Barbieri"
98242,"Star Trek Deck Building Game: The Next Generation",2,5,60,60,60,2011,5.94477,1081,13,"Card Drafting, Co-operative Play, Deck / Pool Building, Partnerships",2133,"Adventure"," Card Game"," Exploration"," Movies / TV / Radio theme"," Science Fiction"," Space Exploration",NA,NA,NA,NA,NA,NA,"Alex Bykov"
91010,"Phantom Fury",1,1,240,240,240,2011,5.6747,109,12,"Area Movement, Chit-Pull System, Dice Rolling",388,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laurent Closier"
176435,"Thrash'n Roll",2,4,90,45,90,2015,5.72594,253,12,"Dice Rolling, Set Collection, Simulation, Worker Placement",481,"Card Game"," Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aleksander Biela, Krzysztof Matusik"
16496,"Roma",2,2,45,45,45,2005,6.50747,4177,8,"Action Point Allowance System, Card Drafting, Dice Rolling, Hand Management",5038,"Ancient"," Card Game"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Feld"
72287,"Mr. Jack Pocket",2,2,15,15,15,2010,6.72789,5993,14,"Modular Board",9840,"Bluffing"," Deduction"," Murder/Mystery"," Post-Napoleonic",NA,NA,NA,NA,NA,NA,NA,NA,"Bruno Cathala, Ludovic Maublanc"
521,"Crokinole",2,4,30,30,30,1876,7.54374,8702,8,"Partnerships",6419,"Action / Dexterity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Uncredited)"
60815,"Black Powder",2,0,0,0,0,2009,5.64889,105,12,"Dice Rolling",255,"Age of Reason"," American Civil War"," American Revolutionary War"," Book"," Miniatures"," Napoleonic"," Wargame",NA,NA,NA,NA,NA,"Jervis Johnson, Rick Priestley, John Stallard"
225244,"Ticket to Ride: Germany",2,5,60,30,60,2017,6.02752,365,8,"Hand Management, Route/Network Building, Set Collection",929,"Trains"," Travel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alan R. Moon"
463,"Magic: The Gathering",2,2,20,20,20,1993,7.30614,25708,13,"Hand Management, Player Elimination, Take That",28245,"Card Game"," Collectible Components"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,NA,NA,"Richard Garfield"
144789,"The Sheep Race",2,6,45,45,45,2013,5.64394,190,10,"Betting/Wagering, Dice Rolling, Grid Movement",247,"Animals"," Dice"," Miniatures"," Racing"," Sports",NA,NA,NA,NA,NA,NA,NA,"Roberto Mancino"
62227,"Labyrinth: The War on Terror, 2001 – ?",1,2,180,180,180,2010,7.05705,3538,12,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Point to Point Movement, Variable Player Powers",7088,"Modern Warfare"," Political"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volko Ruhnke"
93,"El Grande",2,5,120,60,120,1995,7.6475,20030,12,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",19232,"Renaissance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wolfgang Kramer, Richard Ulrich"
21414,"To The Last Man!",2,3,120,120,120,2009,5.75814,155,12,"Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Secret Unit Deployment, Simulation",433,"Bluffing"," Wargame"," World War I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tim Taylor"
869,"Bongo!",2,8,15,15,15,2000,5.67307,464,8,"Dice Rolling, Pattern Recognition",601,"Animals"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bruno Faidutti"
27802,"Anno 1701: Das Kartenspiel",2,2,60,60,60,2007,5.65336,251,10,"Dice Rolling, Modular Board, Trading",576,"Age of Reason"," Card Game"," City Building"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,"Klaus Teuber"
154458,"Akrotiri",2,2,45,45,45,2014,6.73499,2327,13,"Action Point Allowance System, Hand Management, Pick-up and Deliver, Tile Placement",4023,"Civilization"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jay Cormier, Sen-Foong Lim"
10904,"New Rules for Classic Games",0,0,0,0,0,1992,5.65047,90,10,"none",198,"Abstract Strategy"," Action / Dexterity"," Book"," Card Game"," Deduction"," Dice"," Negotiation"," Word Game",NA,NA,NA,NA,"R. Wayne Schmittberger"
9216,"Goa",2,4,90,90,90,2004,7.40462,10156,12,"Auction/Bidding, Hand Management, Press Your Luck",10076,"Economic"," Farming"," Nautical"," Renaissance",NA,NA,NA,NA,NA,NA,NA,NA,"Rüdiger Dorn"
199,"Manhattan",2,4,45,45,45,1994,6.43121,3976,10,"Area Control / Area Influence, Hand Management",5073,"City Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andreas Seyfarth"
83040,"Leader 1: Hell of the North",2,10,45,45,45,2011,6.0559,395,14,"Modular Board, Simulation",747,"Racing"," Sports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Christophe Leclercq, Alain Ollier"
15889,"Scopa",2,6,30,30,30,1600,5.88086,640,8,"Hand Management, Memory, Partnerships, Set Collection",1209,"Card Game"," Memory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Uncredited)"
162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Card Drafting, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Partnerships, Player Elimination, Variable Player Powers",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
5711,"Squad Seven",2,4,20,20,20,2002,5.72926,356,12,"Hand Management",644,"Action / Dexterity"," Adventure"," Card Game"," Real-time",NA,NA,NA,NA,NA,NA,NA,NA,"Roberto Fraga"
939,"Star Wars: The Queen's Gambit",2,4,120,120,120,2000,6.7849,1953,12,"Campaign / Battle Card Driven, Simultaneous Action Selection",2265,"Fighting"," Miniatures"," Movies / TV / Radio theme"," Science Fiction"," Wargame",NA,NA,NA,NA,NA,NA,NA,"Rob Daviau, Alan Roach, Craig Van Ness"
129204,"Blocks in the East",1,4,120,120,120,2012,5.69358,138,14,"Dice Rolling, Hex-and-Counter, Simulation",368,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emanuele Santandrea"
224,"History of the World",3,6,180,180,180,1991,6.72956,4109,12,"Area Control / Area Influence, Dice Rolling, Hand Management",4950,"Ancient"," Civilization"," Medieval"," Renaissance"," Wargame",NA,NA,NA,NA,NA,NA,NA,"Gary Dicken, Steve Kendall, Phil Kendall"
85108,"U-Boat Leader",1,1,90,90,90,2011,5.72575,250,12,"Card Drafting, Dice Rolling, Simulation",783,"Nautical"," Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dave Schueler"
109764,"Quarantine",2,4,60,60,60,2013,5.77998,828,13,"Action Point Allowance System, Tile Placement",1299,"Medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mark Klassen"
181797,"Inhabit the Earth",2,4,90,60,90,2015,6.20158,896,14,"Action / Movement Programming, Area Movement, Card Drafting, Hand Management, Modular Board, Point to Point Movement, Set Collection, Tile Placement",1435,"Animals"," Environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Breese"
257,"Kill Doctor Lucky",3,8,45,45,45,1996,6.00346,5716,12,"Card Drafting, Hand Management, Point to Point Movement",8941,"Humor"," Murder/Mystery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"James Ernest"
67919,"The Message",3,9,60,30,60,2009,5.78982,343,15,"Hand Management, Partnerships, Variable Player Powers",560,"Bluffing"," Card Game"," Deduction"," Spies/Secret Agents",NA,NA,NA,NA,NA,NA,NA,NA,"(Uncredited)"
22485,"Terra Prime",2,5,60,60,60,2009,5.74399,466,10,"Action Point Allowance System, Dice Rolling, Modular Board, Pick-up and Deliver, Point to Point Movement, Tile Placement",812,"Economic"," Science Fiction"," Space Exploration"," Transportation",NA,NA,NA,NA,NA,NA,NA,NA,"Seth Jaffee"
181325,"Completto",2,4,30,30,30,2015,5.69174,193,8,"Tile Placement",275,"Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heinz Meister"
8096,"Logistico",2,5,60,60,60,2003,5.71445,499,11,"Action Point Allowance System, Area Movement, Pick-up and Deliver",505,"Economic"," Transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corné van Moorsel"
18602,"Caylus",2,5,150,60,150,2005,7.68489,23494,12,"Worker Placement",23855,"City Building"," Economic"," Medieval",NA,NA,NA,NA,NA,NA,NA,NA,NA,"William Attia"
16162,"Target Arnhem: Across 6 Bridges",2,2,90,90,90,2005,5.75675,399,12,"Dice Rolling, Hex-and-Counter",1060,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetsuya Nakamura, Jun Tajima"
131835,"Boss Monster: The Dungeon Building Card Game",2,4,20,20,20,2013,6.16475,9823,13,"Auction/Bidding, Hand Management, Player Elimination, Take That, Variable Player Powers",18919,"Card Game"," Fantasy"," Video Game Theme",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnny O'Neal, Chris O'Neal"
7865,"10 Days in Africa",2,4,25,25,25,2003,6.13545,1802,10,"Hand Management, Route/Network Building, Tile Placement",2045,"Educational"," Travel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alan R. Moon, Aaron Weissblum"
167270,"Medina (second edition)",2,4,60,60,60,2014,6.49302,1333,10,"Area Control / Area Influence, Press Your Luck, Tile Placement",2213,"Abstract Strategy"," City Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Dorra"
46807,"Infinite City",2,6,45,45,45,2009,5.9153,1696,10,"Area Control / Area Influence, Hand Management, Tile Placement",1784,"City Building"," Science Fiction"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brent Keith"
125943,"Corporate America",3,6,120,90,120,2013,5.88246,353,13,"Auction/Bidding, Set Collection",487,"Economic"," Humor"," Negotiation"," Political",NA,NA,NA,NA,NA,NA,NA,NA,"Teale Fristoe"
119464,"Tier auf Tier: Jetzt geht's rund!",2,4,15,15,15,2012,5.66088,185,5,"none",457,"Action / Dexterity"," Animals"," Children's Game",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus Miltenberger, Kristin Mückel"
36235,"The Duke",2,2,30,30,30,2013,6.93506,3100,13,"Grid Movement, Tile Placement",5378,"Abstract Strategy"," Medieval",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeremy Holcomb, Stephen McLaughlin"
118174,"Compounded",2,5,90,30,90,2013,6.35228,2088,13,"Set Collection, Trading",4469,"Educational"," Industry / Manufacturing"," Negotiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Darrell Louder"
23540,"1889: History of Shikoku Railways",2,6,210,210,210,2005,6.29372,499,14,"Auction/Bidding, Route/Network Building, Stock Holding, Tile Placement",496,"Economic"," Trains"," Transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yasutaka Ikeda"
244521,"Die Quacksalber von Quedlinburg",2,4,45,45,45,2018,5.80956,215,10,"Deck / Pool Building",342,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wolfgang Warsch"
113927,"Nightfall: The Coldest War",2,5,45,45,45,2012,5.95436,374,12,"Card Drafting, Deck / Pool Building, Hand Management",1245,"Card Game"," Fantasy"," Fighting"," Horror"," Zombies",NA,NA,NA,NA,NA,NA,NA,"David Gregg"
21241,"Neuroshima Hex!",1,4,30,30,30,2006,7.20154,11114,13,"Hand Management, Hex-and-Counter, Player Elimination, Tile Placement, Variable Player Powers",11361,"Fighting"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michał Oracz"
54,"Tikal",2,4,90,90,90,1999,7.19528,15124,10,"Action Point Allowance System, Area Control / Area Influence, Auction/Bidding, Grid Movement, Modular Board, Set Collection, Tile Placement",18636,"Exploration"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michael Kiesling, Wolfgang Kramer"
65825,"Gettysburg",2,2,180,180,180,2010,5.84928,277,13,"Action Point Allowance System, Dice Rolling",807,"American Civil War"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Martin Wallace"
178591,"Lunarchitects",1,5,60,45,60,2016,5.96681,363,13,"Set Collection, Tile Placement, Variable Phase Order",651,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dan Cunningham"
